date,well_name,licence_number,mineral_rights,ground_elevation,unique_identifier,surface_coordinates,aer_field_centre,projected_depth,aer_classification,field,terminating_zone,drilling_operation,well_purpose,well_type,substance,licensee,surface_location
20 May 2022,BAYTEX HZ COLDLK 13-20-63-3,0504299,FREEHOLD,555M,100/13-20-063-03W4/00  S  225.0M  E,105.5M,BONNYVILLE,2200.0M,DEV (C),COLD LAKE,LLOYDMINSTER MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,BAYTEX ENERGY LTD.,13-17-063-03W4
20 May 2022,BAYTEX HZ 102 COLDLK 13-20-63-3,0504300,FREEHOLD,555.1M,102/13-20-063-03W4/00  S  225.0M  E,120.5M,BONNYVILLE,2200.0M,DEV (C),COLD LAKE,REX MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,BAYTEX ENERGY LTD.,13-17-063-03W4
20 May 2022,BAYTEX HZ 103 COLDLK 13-20-63-3,0504301,FREEHOLD,554.8M,103/13-20-063-03W4/00  S  225.0M  E,135.5M,BONNYVILLE,2200.0M,DEV (C),COLD LAKE,GENERAL PETROLEUM MBR,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,BAYTEX ENERGY LTD.,13-17-063-03W4
20 May 2022,HEMISPHERE 4A-30 ATL-BUFF 3-30-21-5,0504302,ALBERTA CROWN,715.4M,102/03-30-021-05W4/00  N  186.1M  E,50.0M,MEDICINE HAT,1532.0M,DEV (NC),ATLEE-BUFFALO,MANNVILLE GRP,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,HEMISPHERE ENERGY CORPORATION,04-30-021-05W4
20 May 2022,WLEC 2B HZ PROVOST 3-18-40-2,0504303,BOTH,702.5M,100/03-18-040-02W4/00  S  279.4M  E,580.5M,WAINWRIGHT,2860.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,WEST LAKE ENERGY CORP.,14-17-040-02W4
20 May 2022,WLEC 2C HZ PROVOST 14-7-40-2,0504304,BOTH,702.3M,103/14-07-040-02W4/00  S  299.4M  E,580.6M,WAINWRIGHT,2910.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,WEST LAKE ENERGY CORP.,14-17-040-02W4
20 May 2022,WLEC 2C HZ PROVOST 14-7-40-2,0504305,BOTH,701.6M,104/14-07-040-02W4/00  S  319.4M  E,580.6M,WAINWRIGHT,2860.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,WEST LAKE ENERGY CORP.,14-17-040-02W4
20 May 2022,WLEC 4C HZ PROVOST 11-7-40-2,0504306,BOTH,700.7M,108/11-07-040-02W4/00  S  339.4M  E,580.6M,WAINWRIGHT,3050.0M,DEV (NC),PROVOST,SPARKY MBR,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,WEST LAKE ENERGY CORP.,14-17-040-02W4
